Az alább felsoroltak közül melyik nem jellemző a társadalmi és jogi normákra?<br>a) A hipotetikus szerkezet.<br>b) A szankció.<br>c) A múltra irányultság.<br>d) Mindegyik jellemző.	c) A múltra irányultság.	01_Jogi_alapok
Az alábbiak közül melyik nem tartozik a társadalmi normák lényeges mozzanatai közé?<br>a) A magatartás leírása.<br>b) A magatartás minősítése. (tilos, kötelező stb.)<br>c) A következmények leírása.<br>d) Mindegyik oda tartozik.	d) Mindegyik oda tartozik.	01_Jogi_alapok
Melyik állítás a legjellemzőbb a jogi normákra?<br>a) A társadalom alkotja, érvényesülését az állam biztosítja.<br>b) Az állam alkotja, érvényesülését az állam biztosítja.<br>c) Az állam alkotja, érvényesülését a társadalom biztosítja.<br>d) A társadalom alkotja, érvényesülését a társadalom biztosítja.	b) Az állam alkotja, érvényesülését az állam biztosítja.	01_Jogi_alapok
Az alábbi 3 állítás (a,b,c) közül melyik hamis?<br>a) A jogi normákat gyorsabban meg lehet változtatni, mint az erkölcsi normákat.<br>b) Az erkölcsi normák szankciórendszerét a társadalmi nyomás jellemzi.<br>c) A jogi norma az emberek formális magatartására irányul.<br>d) Mindhárom előző állítás igaz.	d) Mindhárom előző állítás igaz.	01_Jogi_alapok
Az alábbi 3 állítás (a,b,c) közül melyik hamis?<br>a) Az erkölcsi normákat gyorsabban meg lehet változtatni, mint a jogi normákat.<br>b) Az erkölcsi normák szankciórendszerét a társadalmi nyomás jellemzi.<br>c) A jogi norma az emberek formális magatartására irányul.<br>d) Mindhárom előző állítás igaz.	a) Az erkölcsi normákat gyorsabban meg lehet változtatni, mint a jogi normákat.	01_Jogi_alapok
Hányféle módját ismerjük a jogképződésnek, a jogi normák létrejöttének? Sorolja is fel ezeket.<br>a) 2<br>b) 3 szokásjogi, jogalkalmazói (bírói), jogalkotói<br>c) 4<br>d) 5	b) 3 szokásjogi, jogalkalmazói (bírói), jogalkotói	01_Jogi_alapok
Melyik jogképződési mód során jön létre a precedensjog?<br>a) Szokásjogi jogképződés útján.<br>b) Jogalkalmazói jogképződés útján.<br>c) Jogalkotói jogképződés útján.<br>d) Megyegyezés útján.	b) Jogalkalmazói jogképződés útján.	01_Jogi_alapok
A jog melyik funkciójának megvalósítását biztosítja elsősorban a bírósági szervezet?<br>a) Az integráló funkciót.<br>b) A konfliktus-feloldó funkciót.<br>c) A társadalomszervező funkciót.<br>d) Egyik funkció megvalósítását sem biztosítja.	b) A konfliktus-feloldó funkciót.	01_Jogi_alapok
A jog melyik funkciójának megvalósítását biztosítják elsősorban a közigazgatási hatóságok?<br>a) Az integráló funkciót.<br>b) A konfliktus-feloldó funkciót.<br>c) A társadalomszervező funkciót.<br>d) Egyik funkció megvalósítását sem biztosítják.	c) A társadalomszervező funkciót.	01_Jogi_alapok
Az alábbi 3 állítás (a,b,c) közül melyik hamis?<br>a) Az anyagi jogforrás azt a szervet jelenti, amelytől a jogi norma ered.<br>b) Az alaki jogforrás azt a formát jelenti, amelyben a jogi norma megjelenik.<br>c) Elsődleges jogforrás maga a jogalkotó hatalom, az állam. <br>d) Mindhárom előző állítás igaz.	d) Mindhárom előző állítás igaz.	01_Jogi_alapok
Mit mond ki a "Lex superior derogat legi inferiori" alapelv?<br>a) A később megalkotott jogszabály a korábbinak a hatályát lerontja.<br>b) A speciális jogszabályt kell alkalmazni az általánossal szemben.<br>c) Alacsonyabb szintű jogszabály nem ellenkezhet magasabb szintűvel.<br>d) Jogszabállyal ellentétes másik jogszabályt nem lehet alkotni.	c) Alacsonyabb szintű jogszabály nem ellenkezhet magasabb szintűvel.	01_Jogi_alapok
Mit mond ki a "Lex posterior derogat legi priori" alapelv?<br>a) A később megalkotott jogszabály a korábbinak a hatályát lerontja.<br>b) A speciális jogszabályt kell alkalmazni az általánossal szemben.<br>c) Alacsonyabb szintű jogszabály nem ellenkezhet magasabb szintűvel.<br>d) Jogszabállyal ellentétes másik jogszabályt nem lehet alkotni.	a) A később megalkotott jogszabály a korábbinak a hatályát lerontja.	01_Jogi_alapok
Az alábbi jogszabályok közül melyik tartozik az anyagi jog körébe?<br>a) A büntetőeljárásról szóló törvény.<br>b) A polgári eljárásról szóló törvény.<br>c) Az általános közigazgatási rendtartásról szóló törvény.<br>d) Egyik sem.	d) Egyik sem.	01_Jogi_alapok
Az alábbi jogszabályok közül melyik tartozik az anyagi jog körébe?<br>a) A büntetőeljárásról szóló törvény.<br>b) A polgári törvénykönyv.<br>c) Az általános közigazgatási rendtartásról szóló törvény.<br>d) Egyik sem.	b) A polgári törvénykönyv.	01_Jogi_alapok
Az alábbi jogszabályok közül melyik tartozik az alaki jog körébe?<br>a) A büntető törvénykönyv.<br>b) A büntetőeljárásról szóló törvény.<br>c) A polgári törvénykönyv.<br>d) A munka törvénykönyve.	b) A büntetőeljárásról szóló törvény.	01_Jogi_alapok
Melyik állítás igaz?<br>a) A polgári jog a közjog területéhez tartozik.<br>b) A büntetőjog a magánjog területéhez tartozik.<br>c) A kereskedelmi jog a magánjog területéhez tartozik.<br>d) A közigazgatási jog a magánjog területéhez tartozik.	c) A kereskedelmi jog a magánjog területéhez tartozik.	01_Jogi_alapok
Mit nevezünk joghézagnak?<br>a) Amikor a bíróság nem tud választani két alkalmazandó jogszabály közül.<br>b) Amikor két jogszabály egymásnak ellentmondó.<br>c) Amikor a jog nem tartalmaz választ egy adott kérdésre.<br>d) Amikor nincs olyan bíróság, amelyik dönthetne egy adott kérdésben.	c) Amikor a jog nem tartalmaz választ egy adott kérdésre.	01_Jogi_alapok
Melyik jogág szabályozási körébe tartozik a gyülekezési jog?<br>a) Polgári jog.<br>b) Alkotmányjog.<br>c) Munkajog.<br>d) Közigazgatási jog.	b) Alkotmányjog.	01_Jogi_alapok
Melyik állítás igaz az angolszász jogrendszerekre?<br>a) A jogalkotás és jogalkalmazás szférája mereven elválik egymástól.<br>b) A szabályok jelentős része nincs törvénybe foglalva.<br>c) E jogrendszerek pillérei az írott jogforrások.<br>d) A joganyag önálló, zárt rendszert alkot.	b) A szabályok jelentős része nincs törvénybe foglalva.	01_Jogi_alapok
Melyik jogrendszerre a leginkább jellemző, hogy politikailag erősen kötött?<br>a) Az angolszász jogrendszerekre.<br>b) A szocialista jogrendszerekre.<br>c) A kontinentális jogrendszerekre.<br>d) A vallási alapú jogrendszerekre.	b) A szocialista jogrendszerekre.	01_Jogi_alapok
Melyik állítás igaz a kontinentális jogrendszerekre?<br>a) A bírónak jelentős szerepe van a jogalkotásban.<br>b) A jogszabályok kevésbé elvontak és általánosak.<br>c) A joganyag önálló, zárt rendszert alkot.<br>d) A jogszabályok egy-egy vitás ügy eldöntésekor keletkeznek.	c) A joganyag önálló, zárt rendszert alkot.	01_Jogi_alapok
Melyik állítás nem igaz a szocialista jogrendszerekre vonatkozóan?<br>a) A politika közvetlenül befolyásolja a jogot.<br>b) A magánjognak kisebb a jelentősége.<br>c) A jogi túlszabályozás jellemző.<br>d) Mindegyik fenti állítás igaz rá.	d) Mindegyik fenti állítás igaz rá.	01_Jogi_alapok
Melyik állítás nem igaz a szocialista jogrendszerekre vonatkozóan?<br>a) A politika közvetlenül befolyásolja a jogot.<br>b) A magánjognak nagy jelentősége van.<br>c) A jogi túlszabályozás jellemző.<br>d) Mindegyik fenti állítás igaz rá.	b) A magánjognak nagy jelentősége van.	02_Jogszabalytan
A tényeknek olyan összessége, amelyhez valamilyen joghatás fűződik, ...<br>a) a jogi norma diszpozíciója.<br>b) a jogi norma szankciója.<br>c) a jogi norma hipotézise.<br>d) a jogi norma jogkövetkezménye.	c) a jogi norma hipotézise.	02_Jogszabalytan
Az a magatartási szabály, amelyet a jogalkotó a jogalany számára előír, ...<br>a) a jogi norma diszpozíciója.<br>b) a jogi norma szankciója.<br>c) a jogi norma hipotézise.<br>d) a jogi norma jogkövetkezménye.	a) a jogi norma diszpozíciója.	02_Jogszabalytan
Egészítse ki a kipontozott részt.<br>A ... esetén a jogalkotó nem határozza meg, hogy mely tényállás esetén szükséges <br>a normában meghatározott magatartást tanúsítani, csupán példaszerűen felsorolja azokat.<br>a) zárt tényállás<br>b) nyitott tényállás<br>c) parancsoló norma<br>d) diszpozitív norma	b) nyitott tényállás	02_Jogszabalytan
Milyenfajta rendelkezés nem fordulhat elő a jogi norma diszpozíciójában?<br>a) tiltó<br>b) parancsoló<br>c) megengedő<br>d) mindhárom előfordulhat	d) mindhárom előfordulhat	02_Jogszabalytan
Melyik állítás igaz?<br>a) A lopás bűncselekménye mindig vagyoni jellegű szankciót von maga után.<br>b) A jogi norma megsértése nem járhat személyi jellegű szankcióval.<br>c) A szankció egyidejűleg mindig csak egyféle joghátrányt alkalmazhat.<br>d) Az érvénytelenség a szankciók egyik típusa.	d) Az érvénytelenség a szankciók egyik típusa.	02_Jogszabalytan
Melyik állítás igaz?<br>a) Az apaság vélelme nem megdönthető.<br>b) A fikció esetén lehetőség van az ellenkező bizonyítására.<br>c) A 14. életévét be nem töltött személy cselekvőképtelenségének vélelme megdönthető.<br>d) A vélelem legfontosabb jogi következménye a bizonyítási teher megfordítása.	d) A vélelem legfontosabb jogi következménye a bizonyítási teher megfordítása.	02_Jogszabalytan
Melyik állítás igaz?<br>a) Az apaság vélelme megdönthető.<br>b) A fikció esetén lehetőség van az ellenkező bizonyítására.<br>c) A 14. életévét be nem töltött személy cselekvőképtelenségének vélelme megdönthető.<br>d) A fikció legfontosabb jogi következménye a bizonyítási teher megfordítása.	a) Az apaság vélelme megdönthető.	02_Jogszabalytan
Egy jogszabály érvényességének hány feltétele van? Sorolja is fel ezeket.<br>a) 3, a következők:<br>b) 4, a következők: megfelelő szerv; megfelelő eljárás; kihirdetés; hierarchiába illeszkedés<br>c) 2, a következők:<br>d) 5, a következők:	b) 4, a következők: megfelelő szerv; megfelelő eljárás; kihirdetés; hierarchiába illeszkedés	02_Jogszabalytan
Melyik állítás igaz?<br>a) A jogszabály időbeli hatálya nem lehet visszamenőleges.<br>b) A magyar jogszabályok területi hatálya Magyarország teljes területe.<br>c) Egy jogszabály lehet egyidejűleg érvényes, de nem hatályos.<br>d) Egy jogszabály lehet egyidejűleg hatályos és érvénytelen.	c) Egy jogszabály lehet egyidejűleg érvényes, de nem hatályos.	02_Jogszabalytan
Melyik állítás igaz?<br>a) Egy magyar jogszabály minden magyar állampolgárra vonatkozik.<br>b) Egy jogszabály csak a jövőre vonatkozóan állapíthat meg kötelezettséget.<br>c) A személyi hatály azt határozza meg, hogy ki alkotta a jogszabályt.<br>d) Egy magyar jogszabály csak magyar állampolgárokra vonatkozik.	b) Egy jogszabály csak a jövőre vonatkozóan állapíthat meg kötelezettséget.	02_Jogszabalytan
Melyik állítás igaz?<br>a) Egy jogszabály nem érvényes, ha a köztársasági elnök nem írta alá.<br>b) Egy törvény nem érvényes, ha ellenkezik egy rendelettel.<br>c) Egy jogszabály nem érvényes, ha nem hirdették ki.<br>d) Mindhárom fenti állítás hamis.	c) Egy jogszabály nem érvényes, ha nem hirdették ki.	02_Jogszabalytan
Melyik állítás igaz?<br>a) Egy jogszabály nem érvényes, ha a köztársasági elnök nem írta alá.<br>b) Egy rendelet nem érvényes, ha ellenkezik egy törvénnyel.<br>c) Egy jogszabály akkor is érvényes, ha nem hirdették ki.<br>d) Mindhárom fenti állítás hamis.	b) Egy rendelet nem érvényes, ha ellenkezik egy törvénnyel.	02_Jogszabalytan
Melyik állítás igaz?<br>a) A jogszabályok tudományos értelmezésének csak az adott ügyben van kötelező ereje.<br>b) A jogalkotói jogszabály értelmezés minden címzettre nézve kötelező.<br>c) A jogalkalmazói jogszabály értelmezésnek nincs kötelező ereje.<br>d) A jogalkotói jogszabály értelmezés tilos.	b) A jogalkotói jogszabály értelmezés minden címzettre nézve kötelező.	02_Jogszabalytan
Melyik állítás igaz?<br>a) A közigazgatási szervek eljárása mindig kezdeményezésre indul.<br>b) A jogalanyok önkéntes jogkövetését is jogalkalmazásnak tekintjük.<br>c) A jogalkalmazás célja mindig valamilyen jogsérelem orvoslása.<br>d) A jogalkalmazás utolsó lépése a tényállás megállapítása.	b) A jogalanyok önkéntes jogkövetését is jogalkalmazásnak tekintjük.	02_Jogszabalytan
Melyik nem következhet be a jogalkalmazás eredményeképpen?<br>a) Jogviszony keletkezése.<br>b) Jogviszony megszűnése.<br>c) Jogviszony módosulása.<br>d) Mindhárom fenti bekövetkezhet.	d) Mindhárom fenti bekövetkezhet.	02_Jogszabalytan
Mely szerv biztosítja a bíróságok egységes jogalkalmazását?<br>a) Az alkotmánybíróság.<br>b) A törvényszék.<br>c) Az ítélőtábla.<br>d) A Kúria.	d) A Kúria.	02_Jogszabalytan
Mely szerv biztosítja a bíróságok egységes jogalkalmazását?<br>a) Az alkotmánybíróság.<br>b) Az ítélőtábla.<br>c) A Kúria.<br>d) Egyik sem.	c) A Kúria.	02_Jogszabalytan
Melyik nem tartozik a jogszabály értelmezésének módszerei közé?<br>a) A rendszertani értelmezés.<br>b) A történeti értelmezés.<br>c) A módszertani értelmezés.<br>d) A logikai értelmezés.	c) A módszertani értelmezés.	02_Jogszabalytan
A jogviszony szerkezeti elemei közé tartozik<br>a) a jogviszony helye.<br>b) a jogviszony ideje.<br>c) a jogviszony tartalma.<br>d) Egyik sem.	c) a jogviszony tartalma.	02_Jogszabalytan
Ingatlan adásvételi szerződés esetén a jogviszony tárgya<br>a) a vételár kifizetése.<br>b) a tulajdonjog átruházása.<br>c) az ingatlan.<br>d) Egyik sem.	c) az ingatlan.	02_Jogszabalytan
Melyik állítás hamis?<br>a) A kötelmi jogban a relatív szerkezetű jogviszonyok jellemzők.<br>b) A tulajdonjog abszolút szerkezetű jogviszony.<br>c) Ha több, mint 2 fél szerepel a szerződésben, az abszolút szerkezetű jogviszonyt eredményez.<br>d) A károkozás relatív szerkezetű jogviszonyt teremt.	c) Ha több, mint 2 fél szerepel a szerződésben, az abszolút szerkezetű jogviszonyt eredményez.	02_Jogszabalytan
Az alábbiak (a,b,c) közül melyik nem rendelkezik jogi személyiséggel?<br>a) Az Állam.<br>b) Az egyesület.<br>c) A társasház.<br>d) Mindegyik rendelkezik.	c) A társasház.	02_Jogszabalytan
Az alábbiak (a,b,c) közül melyik nem rendelkezik jogi személyiséggel?<br>a) Az Állam.<br>b) Az egyesület.<br>c) Az egyetem.<br>d) Mindegyik rendelkezik.	d) Mindegyik rendelkezik.	03_Szemelyek_joga
Melyik állítás igaz?<br>a) Együttes kötelezettek bármelyikétől az egész tartozás követelhető.<br>b) Egyetemleges kötelezettek egyidejűleg, de arányosan kötelesek teljesíteni.<br>c) A kezes az adóssal fele-fele arányban köteles teljesíteni a tartozást.<br>d) Mindhárom fenti állítás hamis.	d) Mindhárom fenti állítás hamis.	03_Szemelyek_joga
Az alábbi 3 állítás (a,b,c) közül melyik hamis?<br>a) Aki jogképes, az önállóan köthet szerződést.<br>b) Aki jogképes, az jogosultságok alanya lehet.<br>c) Aki betöltötte a 14. életévét az jogképes.<br>d) Mindhárom előző állítás igaz.	a) Aki jogképes, az önállóan köthet szerződést.	03_Szemelyek_joga
Melyik állítás igaz?<br>a) A jogképesség a születéssel kezdődik.<br>b) A jogképesség mindig a születés előtti 300-adik napon kezdődik.<br>c) A jogképesség mindig a fogamzástól kezdődik.<br>d) A magzat jogképessége feltételes.	d) A magzat jogképessége feltételes.	03_Szemelyek_joga
Melyik állítás igaz?<br>a) A bíróság korlátozhatja a természetes személy jogképességét.<br>b) A Ptk. nem korlátozhatja az ember cselekvőképességét.<br>c) Aki cselekvőképes, az önállóan köthet szerződést.<br>d) Mindhárom fenti állítás hamis.	c) Aki cselekvőképes, az önállóan köthet szerződést.	03_Szemelyek_joga
Az alábbi 3 állítás (a,b,c) közül melyik hamis?<br>a) 17 éves személy is lehet nagykorú.<br>b) 17 éves személy is lehet cselekvőképes.<br>c) 13 éves személy is lehet korlátozottan cselekvőképes.<br>d) Mindhárom előző állítás igaz.	c) 13 éves személy is lehet korlátozottan cselekvőképes.	03_Szemelyek_joga
Az alábbi 3 állítás (a,b,c) közül melyik hamis?<br>a) A kiskorú személy a házasságkötéssel nagykorúvá válik.<br>b) 17 éves személy is lehet cselekvőképes.<br>c) A 13 éves személy minden esetben cselekvőképtelennek minősül.<br>d) Mindhárom előző állítás igaz.	d) Mindhárom előző állítás igaz.	03_Szemelyek_joga
Az alábbi 3 állítás (a,b,c) közül melyik hamis?<br>a) Nagykorú személy is lehet cselekvőképtelen.<br>b) Kiskorú személy is lehet korlátozottan cselekvőképes.<br>c) A kiskorú személy házasságkötése minden esetben érvénytelen.<br>d) Mindhárom előző állítás igaz.	c) A kiskorú személy házasságkötése minden esetben érvénytelen.	03_Szemelyek_joga
Mit nem tehet meg önállóan a korlátozottan cselekvőképes kiskorú?<br>a) Tetszőleges értékű ajándékot adhat.<br>b) Tetszőleges értékű ajándékot elfogadhat.<br>c) Rendelkezhet munkával szerzett jövedelmével.<br>d) Mindhárom fenti jognyilatkozatot megteheti önállóan.	a) Tetszőleges értékű ajándékot adhat.	03_Szemelyek_joga
Melyik nem tartozik a gyám feladatai közé?<br>a) A gyermek gondozása, nevelése.<br>b) A gyermek vagyonának kezelése.<br>c) A gyermek törvényes képviselete.<br>d) Mindhárom fenti a gyám feladatai közé tartozik.	d) Mindhárom fenti a gyám feladatai közé tartozik.	03_Szemelyek_joga
Melyikkel nem feltétlenül kell rendelkeznie a jogi személynek?<br>a) Székhellyel.<br>b) Saját vagyonnal.<br>c) Telephellyel.<br>d) Képviselővel.	c) Telephellyel.	03_Szemelyek_joga
Ki felel a jogi személy tartozásaiért?<br>a) A vezető tisztségviselő.<br>b) A döntéshozó szerv.<br>c) A tagok és alapítók.<br>d) Egyik sem.	d) Egyik sem.	03_Szemelyek_joga
Mikor jön létre a jogi személy?<br>a) A létesítő okirat aláírásakor.<br>b) A bejegyzési kérelem bírósághoz történő benyújtásakor.<br>c) A bírósági nyilvántartásba vétel megtörténtekor.<br>d) A bírósági határozat kézbesítésekor.	c) A bírósági nyilvántartásba vétel megtörténtekor.	03_Szemelyek_joga
Ki látja el a jogi személy tulajdonosainak érdekvédelmét?<br>a) A könyvvizsgáló.<br>b) A vezető tisztségviselő.<br>c) A felügyelőbizottság.<br>d) Egyik sem.	c) A felügyelőbizottság.	03_Szemelyek_joga
Ki látja el a jogi személy törvényes működésének felügyeletét?<br>a) Az ügyészség.<br>b) A felügyelőbizottság.<br>c) A nyilvántartó bíróság.<br>d) Egyik sem.	c) A nyilvántartó bíróság.	03_Szemelyek_joga
Melyik állítás hamis?<br>a) Összeolvadásnál a korábbi jogi személyek megszűnnek.<br>b) Kiválásnál a jogi személy megszűnik.<br>c) Különválásnál a jogi személy megszűnik.<br>d) Átalakulásnál a korábbi jogi személy megszűnik.	b) Kiválásnál a jogi személy megszűnik.	03_Szemelyek_joga
Melyik nem tartozik a (jogi személy) jogutód nélküli megszűnés esetei közé?<br>a) A tagok kimondják a megszűnést.<br>b) A létesítő okiratban meghatározott idő eltelik.<br>c) A jogi személy tartozása meghaladja a vagyonát.<br>d) A jogosult szerv megszünteti.	c) A jogi személy tartozása meghaladja a vagyonát.	03_Szemelyek_joga
Melyik állítás igaz?<br>a) Alapítvány létrehozásához legalább 10 alapító szükséges.<br>b) Az egyesület megszűnik, ha tagjainak száma tartósan nem éri el a 12 főt.<br>c) Az egyesület átalakulhat alapítvánnyá.<br>d) Egyik fenti állítás sem igaz.	d) Egyik fenti állítás sem igaz.	03_Szemelyek_joga
Melyik állítás igaz?<br>a) Alapítvány létrehozásához legalább 10 alapító szükséges.<br>b) Az egyesület megszűnik, ha tagjainak száma tartósan nem éri el a 10 főt.<br>c) Az alapítvány átalakulhat egyesületté.<br>d) Egyik fenti állítás sem igaz.	b) Az egyesület megszűnik, ha tagjainak száma tartósan nem éri el a 10 főt.	03_Szemelyek_joga
Egyesületnél mely esetben kötelező a felügyelőbizottság létrehozása?<br>a) Ha a tagok több, mint negyede nem természetes személy.<br>b) Ha a tagok létszáma az 50 főt meghaladja.<br>c) Ha a könyvvizsgáló ezt kéri.<br>d) Egyik fenti esetben sem kötelező.	d) Egyik fenti esetben sem kötelező.	04_Tarsasagi_jog
Egyesületnél mely esetben kötelező a felügyelőbizottság létrehozása?<br>a) Ha a tagok több, mint fele nem természetes személy.<br>b) Ha a tagok létszáma az 50 főt meghaladja.<br>c) Ha a könyvvizsgáló ezt kéri.<br>d) Egyik fenti esetben sem kötelező.	a) Ha a tagok több, mint fele nem természetes személy.	04_Tarsasagi_jog
